Frame,Time,Bx,By,Sx,Sy,LP1x,LP1y,LP2x,LP2y,LP3x,LP3y,LP4x,LP4y,LP5x,LP5y,LP6x,LP6y,LP7x,LP7y,LP8x,LP8y,LP9x,LP9y,LP10x,LP10y,LP11x,LP11y,VP1x,VP1y,VP2x,VP2y,VP3x,VP3y,VP4x,VP4y,VP5x,VP5y,VP6x,VP6y,VP7x,VP7y,VP8x,VP8y,VP9x,VP9y,VP10x,VP10y,VP11x,VP11y
56.0,2.240000009536743,51.41535088419914,34.29580044746399,61.41535088419914,34.29580044746399,99.47279781103134,33.36012041568756,68.07675004005432,18.279080271720886,71.15640163421631,28.990440011024475,71.3348999619484,37.08312010765076,67.60634958744049,52.62112069129944,60.08100003004074,17.225760579109192,63.53654891252518,32.2068407535553,61.25700116157532,37.95556139945984,56.0133022069931,53.48948049545288,52.57769912481308,23.895199179649353,52.47480019927025,44.321040630340576,0.32654999289661646,34.19244194030762,40.495350658893585,55.83411884307861,32.38514855504036,38.48731803894043,32.93325126171112,28.64091956615448,38.578050434589386,20.792360663414,51.958199590444565,62.19620156288147,42.067201137542725,34.68068027496338,45.48915132880211,25.642120480537415,51.980251371860504,1.4966800287365913,52.69950181245804,34.24411916732788,52.091549187898636,24.560240507125854
57.0,2.2799999713897705,51.13185077905655,34.303959369659424,61.457469884129445,34.29580159124226,99.46125090122223,33.36691951751709,68.0872517824173,18.260719656944275,71.15429878234863,28.98703944683075,71.29184782505035,37.07496118545532,67.59375125169754,52.65716099739075,60.06735026836395,17.22100019454956,63.54494780302048,32.208200573921204,61.25069886445999,37.94060134887695,56.01855307817459,53.48811864852905,52.55984991788864,23.879560232162476,52.45275154709816,44.29724073410034,0.3233999933581799,34.185640811920166,40.50584927201271,55.84160089492798,32.38410025835037,38.4927613735199,32.91645035147667,28.63819992542267,38.6021988093853,20.779439330101013,51.958199590444565,62.19620156288147,42.07244887948036,34.67387914657593,45.49649879336357,25.636000275611877,51.98129966855049,1.4857999458909035,52.696347534656525,34.25092029571533,52.09995120763779,24.558199763298035
58.0,2.319999933242798,50.84100008010864,34.31279921531677,61.49255888506266,34.29580631577402,99.44969773292542,33.37372064590454,68.09879869222641,18.242359042167664,71.15009933710098,28.983640909194946,71.24775052070618,37.06679821014404,67.58115291595459,52.69252038002014,60.052649080753326,17.222360014915466,63.550198674201965,32.20548093318939,61.24335139989853,37.92904186248779,56.02379769086838,53.48676085472107,52.5420007109642,23.863919258117676,52.428600043058395,44.26935935020447,0.31920001027174294,34.17952060699463,40.51635101437569,55.85044074058533,32.383048832416534,38.494800090789795,32.90174916386604,28.634799361228943,38.626350313425064,20.766520023345947,51.96135073900223,62.19483971595764,42.079799473285675,34.66707801818848,45.50594910979271,25.62988007068634,51.98235109448433,1.4824000149965286,52.700546979904175,34.25704050064087,52.113600969314575,24.556159019470215
59.0,2.359999895095825,50.55749997496605,34.32163906097412,61.52117986723665,34.29581724797683,99.4381508231163,33.38051974773407,68.10930043458939,18.229439735412598,71.14589989185333,28.98024034500122,71.2036469578743,37.062039852142334,67.56854832172394,52.727879762649536,60.0379478931427,17.223719835281372,63.55650097131729,32.19800090789795,61.2370491027832,37.91680145263672,56.02799713611603,53.48471808433533,52.52204865217209,23.85779905319214,52.40130051970482,44.243520736694336,0.31500000273808837,34.17271947860718,40.52790105342865,55.859280586242676,32.38094910979271,38.49616193771362,32.88705110549927,28.63207972049713,38.65049868822098,20.74884033203125,51.96555018424988,62.192800998687744,42.08609864115715,34.664358377456665,45.51435112953186,25.62308096885681,51.983399391174316,1.4721999689936638,52.70895212888718,34.26384162902832,52.131450176239014,24.554120302200317
60.0,2.4000000953674316,50.273999869823456,34.329797983169556,61.5438494908575,34.29583674926709,99.42450106143951,33.38732087612152,68.1208473443985,18.2117600440979,71.139597594738,28.976839780807495,71.15954965353012,37.057281494140625,67.55700141191483,52.76528191566467,60.02220153808594,17.225079655647278,63.5596489906311,32.19596016407013,61.23075306415558,37.904561042785645,56.03115141391754,53.481998443603516,52.5,23.857120156288147,52.37190127372742,44.21700119972229,0.3107999952044338,34.16591835021973,40.54155081510544,55.86743950843811,32.37990081310272,38.49683880805969,32.874449640512466,28.628679156303406,38.67569848895073,20.731839537620544,51.97290077805519,62.19415879249573,42.0945006608963,34.660961866378784,45.52275002002716,25.61627984046936,51.98759883642197,1.463359996676445,52.72049903869629,34.26996183395386,52.15455025434494,24.552079558372498
61.0,2.440000057220459,49.99049976468086,34.33864188194275,61.561042371535876,34.295866722749636,99.41190272569656,33.39411997795105,68.13449710607529,18.194080352783203,71.13539814949036,28.972079396247864,71.1144009232521,37.05183815956116,67.54440307617188,52.80199909210205,60.005397498607635,17.227120399475098,63.56595128774643,32.19188070297241,61.223399341106415,37.89232063293457,56.033248007297516,53.481321573257446,52.47689992189407,23.85576033592224,52.338299453258514,44.18708109855652,0.3066000121179968,34.15912127494812,40.55414915084839,55.875598430633545,32.3778010904789,38.49820065498352,32.861851304769516,28.621199131011963,38.69669884443283,20.71484076976776,51.97710022330284,62.195520639419556,42.1028995513916,34.65347981452942,45.533248633146286,25.610159635543823,51.99180141091347,1.4477200359106064,52.72994935512543,34.276758909225464,52.17135116457939,24.548678994178772
62.0,2.4800000190734863,49.70699965953827,34.3474817276001,61.57319689906156,34.29590878353094,99.40034955739975,33.40091907978058,68.1460502743721,18.177079558372498,71.13014727830887,28.972079396247864,71.06925219297409,37.04707980155945,67.53179848194122,52.83940124511719,59.98650312423706,17.229159116744995,63.57329875230789,32.18779921531677,61.21709704399109,37.88348078727722,56.03535085916519,53.48064064979553,52.45275154709816,23.855079412460327,52.303649336099625,44.154441356658936,0.30029998859390616,34.15300107002258,40.56569918990135,55.88511919975281,32.37570136785507,38.498881578445435,32.85030126571655,28.61371910572052,38.71769919991493,20.69852089881897,51.983399391174316,62.19620156288147,42.11234986782074,34.6460018157959,45.542698949575424,25.603360533714294,51.99600085616112,1.4327599853277206,52.7404510974884,34.28424096107483,52.19024866819382,24.550719738006592
63.0,2.5199999809265137,49.423499554395676,34.35564064979553,61.580718896719354,34.295964400236294,99.38880264759064,33.40772020816803,68.15655201673508,18.17095935344696,71.12385123968124,28.972079396247864,71.02409720420837,37.045722007751465,67.52130299806595,52.873398780822754,59.96969908475876,17.23188078403473,63.57749819755554,32.18848013877869,61.2118524312973,37.87124037742615,56.038498878479004,53.47655916213989,52.42650032043457,23.85983979701996,52.26585119962692,44.123159408569336,0.29504999751225114,34.14619994163513,40.58040037751198,55.89463996887207,32.374649941921234,38.498881578445435,32.83769980072975,28.60215961933136,38.7418507039547,20.681520104408264,51.99180141091347,62.19687843322754,42.12180018424988,34.63783884048462,45.55424898862839,25.597240328788757,52.001248598098755,1.4259599968791008,52.75095283985138,34.291038036346436,52.21230044960976,24.553439378738403
64.0,2.559999942779541,49.13999944925308,34.36448049545288,61.583978750963574,34.29603470162746,99.37619805335999,33.41451930999756,68.16600233316422,18.165520071983337,71.11860036849976,28.972760319709778,70.97789704799652,37.04776072502136,67.50974982976913,52.907400369644165,59.95184987783432,17.235279321670532,63.58169764280319,32.18440067768097,61.206601560115814,37.85831904411316,56.03955030441284,53.47520136833191,52.398149371147156,23.868679642677307,52.22489878535271,44.08916187286377,0.2898000064305961,34.13939881324768,40.595098435878754,55.90144109725952,32.37149879336357,38.499558448791504,32.8251014649868,28.5906001329422,38.763899356126785,20.66043984889984,52.00230002403259,62.19687843322754,42.132298797369,34.6303608417511,45.56685045361519,25.58635973930359,52.009650617837906,1.4055600315332413,52.76355117559433,34.29443860054016,52.23644882440567,24.556159019470215
65.0,2.5999999046325684,48.8554510474205,34.37332034111023,61.58331639436503,34.29612062379787,99.36359971761703,33.42132043838501,68.17649781703949,18.160080790519714,71.11229807138443,28.972760319709778,70.9327483177185,37.04707980155945,67.49820291996002,52.94072103500366,59.93400067090988,17.238679885864258,63.584851920604706,32.18031919002533,61.20029926300049,37.846078634262085,56.041646897792816,53.47315859794617,52.36980155110359,23.87820041179657,52.18184977769852,44.05175971984863,0.28559999889694154,34.13464045524597,40.61085104942322,55.90756130218506,32.369399070739746,38.499558448791504,32.8125,28.574280261993408,38.78909915685654,20.644800901412964,52.014901489019394,62.19892120361328,42.14384883642197,34.62287878990173,45.57840049266815,25.580920457839966,52.01700121164322,1.4001199901103973,52.77614951133728,34.29376173019409,52.26270005106926,24.55888068675995
