Frame,Time,Bx,By,Sx,Sy,LP1x,LP1y,LP2x,LP2y,LP3x,LP3y,LP4x,LP4y,LP5x,LP5y,LP6x,LP6y,LP7x,LP7y,LP8x,LP8y,LP9x,LP9y,LP10x,LP10y,LP11x,LP11yyVP1x,VP1y,VP2x,VP2y,VP3x,VP3y,VP4x,VP4y,VP5x,VP5y,VP6x,VP6y,VP7x,VP7y,VP8x,VP8y,VP9x,VP9y,VP10x,VP10y,VP11x,VP11y
56.0,2.240000009536743,0.4896700084209442,0.5043500065803528,-9.343714017240176,0.504352566912642,0.9473599791526794,0.49059000611305237,0.6483500003814697,0.2688100039958954,0.6776800155639648,0.42633000016212463,0.6793799996376038,0.5453400015830994,0.6438699960708618,0.7738400101661682,0.5722000002861023,0.25332000851631165,0.6051099896430969,0.47363001108169556,0.5834000110626221,0.5581700205802917,0.5334600210189819,0.7866100072860718,0.5007399916648865,0.3513999879360199,0.4997600018978119,0.6517800092697144,0.003109999932348728,0.5028300285339355,0.385670006275177,0.8210899829864502,0.3084299862384796,0.5659899711608887,0.3136500120162964,0.4211899936199188,0.36741000413894653,0.30577000975608826,0.49483999609947205,0.914650022983551,0.40064001083374023,0.5100100040435791,0.4332300126552582,0.3770900070667267,0.49505001306533813,0.02201000042259693,0.5019000172615051,0.5035899877548218,0.4961099922657013,0.36118000745773315
57.0,2.2799999713897705,0.4869700074195862,0.5044699907302856,-9.17713517310711,0.5043580667584604,0.9472500085830688,0.4906899929046631,0.6484500169754028,0.26853999495506287,0.6776599884033203,0.4262799918651581,0.6789699792861938,0.5452200174331665,0.643750011920929,0.774370014667511,0.5720700025558472,0.25325000286102295,0.6051899790763855,0.4736500084400177,0.5833399891853333,0.5579500198364258,0.5335100293159485,0.7865899801254272,0.5005699992179871,0.35117000341415405,0.4995500147342682,0.6514300107955933,0.0030799999367445707,0.5027300119400024,0.3857699930667877,0.8212000131607056,0.30842000246047974,0.566070020198822,0.31349000334739685,0.42114999890327454,0.3676399886608124,0.3055799901485443,0.49483999609947205,0.914650022983551,0.4006899893283844,0.509909987449646,0.4332999885082245,0.37700000405311584,0.495059996843338,0.021849999204277992,0.5018699765205383,0.5036900043487549,0.49619001150131226,0.36114999651908875
58.0,2.319999933242798,0.48420000076293945,0.5045999884605408,-9.010563341919589,0.5043658999270961,0.9471399784088135,0.4907900094985962,0.6485599875450134,0.26826998591423035,0.677619993686676,0.4262300133705139,0.6785500049591064,0.5450999736785889,0.6436300277709961,0.7748900055885315,0.5719299912452698,0.2532700002193451,0.605239987373352,0.4736100137233734,0.5832700133323669,0.5577800273895264,0.5335599780082703,0.7865700125694275,0.5004000067710876,0.3509399890899658,0.49932000041007996,0.6510199904441833,0.0030400000978261232,0.5026400089263916,0.3858700096607208,0.8213300108909607,0.30840998888015747,0.566100001335144,0.31334999203681946,0.421099990606308,0.3678700029850006,0.30539000034332275,0.49487000703811646,0.9146299958229065,0.4007599949836731,0.5098099708557129,0.4333899915218353,0.376910001039505,0.4950700104236603,0.021800000220537186,0.5019099712371826,0.5037800073623657,0.4963200092315674,0.36111998558044434
59.0,2.359999895095825,0.4814999997615814,0.5047299861907959,-8.843992835341153,0.5043760340158151,0.9470300078392029,0.4908899962902069,0.6486600041389465,0.2680799961090088,0.6775799989700317,0.42618000507354736,0.6781299710273743,0.5450299978256226,0.6435099840164185,0.775409996509552,0.5717899799346924,0.25328999757766724,0.6053000092506409,0.47350001335144043,0.5832099914550781,0.5576000213623047,0.5335999727249146,0.7865399718284607,0.5002099871635437,0.350849986076355,0.4990600049495697,0.6506400108337402,0.003000000026077032,0.5025399923324585,0.3859800100326538,0.8214600086212158,0.3083899915218353,0.5661200284957886,0.31321001052856445,0.4210599958896637,0.36809998750686646,0.3051300048828125,0.49491000175476074,0.9146000146865845,0.4008199870586395,0.5097699761390686,0.4334700107574463,0.3768100142478943,0.49507999420166016,0.021649999544024467,0.501990020275116,0.5038800239562988,0.4964900016784668,0.3610900044441223
60.0,2.4000000953674316,0.4787999987602234,0.5048499703407288,-8.677422579014683,0.5043884047494476,0.9469000101089478,0.49099001288414,0.6487699747085571,0.26782000064849854,0.6775199770927429,0.4261299967765808,0.6777099967002869,0.5449600219726562,0.6434000134468079,0.7759600281715393,0.5716400146484375,0.2533099949359894,0.6053299903869629,0.473470002412796,0.5831500291824341,0.557420015335083,0.5336300134658813,0.7864999771118164,0.5,0.3508400022983551,0.4987800121307373,0.6502500176429749,0.002959999954327941,0.5024399757385254,0.38611000776290894,0.8215799927711487,0.30838000774383545,0.5661299824714661,0.3130899965763092,0.42100998759269714,0.36833998560905457,0.3048799932003021,0.49498000741004944,0.9146199822425842,0.4009000062942505,0.5097200274467468,0.43355000019073486,0.3767099976539612,0.49511998891830444,0.02151999995112419,0.5020999908447266,0.5039700269699097,0.49671000242233276,0.3610599935054779
61.0,2.440000057220459,0.47609999775886536,0.5049800276756287,-8.510852370049424,0.5044030742731508,0.9467800259590149,0.49108999967575073,0.6488999724388123,0.2675600051879883,0.6774799823760986,0.4260599911212921,0.6772800087928772,0.5448799729347229,0.643280029296875,0.7764999866485596,0.5714799761772156,0.2533400058746338,0.6053900122642517,0.4734100103378296,0.583079993724823,0.5572400093078613,0.5336499810218811,0.7864900231361389,0.49977999925613403,0.35082000494003296,0.49845999479293823,0.6498100161552429,0.0029200001154094934,0.5023400187492371,0.3862299919128418,0.8216999769210815,0.3083600103855133,0.5661500096321106,0.31297001242637634,0.42089998722076416,0.3685399889945984,0.30463001132011414,0.4950200021266937,0.9146400094032288,0.40097999572753906,0.5096099972724915,0.4336499869823456,0.37661999464035034,0.4951600134372711,0.021290000528097153,0.5021899938583374,0.504069983959198,0.4968700110912323,0.36100998520851135
62.0,2.4800000190734863,0.4733999967575073,0.5051100254058838,-8.344282170154534,0.504420144999218,0.9466699957847595,0.49118998646736145,0.6490100026130676,0.2673099935054779,0.6774299740791321,0.4260599911212921,0.6768500208854675,0.5448099970817566,0.6431599855422974,0.7770500183105469,0.5713000297546387,0.2533699870109558,0.605459988117218,0.47334998846054077,0.5830199718475342,0.5571100115776062,0.5336700081825256,0.7864800095558167,0.4995500147342682,0.3508099913597107,0.4981299936771393,0.6493300199508667,0.002859999891370535,0.5022500157356262,0.3863399922847748,0.8218399882316589,0.30834001302719116,0.5661600232124329,0.31286001205444336,0.4207899868488312,0.3687399923801422,0.304390013217926,0.49507999420166016,0.914650022983551,0.4010699987411499,0.5095000267028809,0.4337399899959564,0.3765200078487396,0.4952000081539154,0.021069999784231186,0.5022900104522705,0.5041800141334534,0.4970499873161316,0.36103999614715576
63.0,2.5199999809265137,0.4706999957561493,0.5052300095558167,-8.177711972118269,0.5044395769833632,0.9465600252151489,0.49129000306129456,0.6491100192070007,0.26721999049186707,0.677370011806488,0.4260599911212921,0.6764199733734131,0.5447900295257568,0.643060028553009,0.7775499820709229,0.5711399912834167,0.2534100115299225,0.6054999828338623,0.47336000204086304,0.5829700231552124,0.5569300055503845,0.5336999893188477,0.7864199876785278,0.4993000030517578,0.3508799970149994,0.4977700114250183,0.6488699913024902,0.0028099999763071537,0.5021499991416931,0.3864800035953522,0.8219799995422363,0.3083299994468689,0.5661600232124329,0.3127399981021881,0.42061999440193176,0.36897000670433044,0.30414000153541565,0.4951600134372711,0.9146599769592285,0.40116000175476074,0.5093799829483032,0.4338499903678894,0.3764300048351288,0.49524998664855957,0.020969999954104424,0.5023900270462036,0.5042799711227417,0.4972600042819977,0.36107999086380005
64.0,2.559999942779541,0.46799999475479126,0.5053600072860718,-8.011141774611875,0.5044614429699613,0.9464399814605713,0.4913899898529053,0.6492000222206116,0.2671400010585785,0.6773200035095215,0.4260700047016144,0.6759799718856812,0.5448200106620789,0.6429499983787537,0.7780500054359436,0.5709699988365173,0.25345999002456665,0.6055399775505066,0.4733000099658966,0.5829200148582458,0.5567399859428406,0.5337100028991699,0.7864000201225281,0.4990299940109253,0.3510099947452545,0.49737998843193054,0.6483700275421143,0.0027600000612437725,0.50204998254776,0.3866199851036072,0.8220800161361694,0.3082999885082245,0.5661699771881104,0.31262001395225525,0.42045000195503235,0.36917999386787415,0.30382999777793884,0.49526000022888184,0.9146599769592285,0.40125998854637146,0.5092700123786926,0.43397000432014465,0.37626999616622925,0.49533000588417053,0.020670000463724136,0.5025100111961365,0.5043299794197083,0.4974899888038635,0.36111998558044434
65.0,2.5999999046325684,0.46529000997543335,0.5054900050163269,-7.844571577421616,0.50448585534491,0.9463199973106384,0.4914900064468384,0.6492999792098999,0.2670600116252899,0.6772599816322327,0.4260700047016144,0.6755499839782715,0.5448099970817566,0.6428400278091431,0.7785400152206421,0.5708000063896179,0.2535099983215332,0.6055700182914734,0.4732399880886078,0.582859992980957,0.5565599799156189,0.5337299704551697,0.7863699793815613,0.49876001477241516,0.3511500060558319,0.496969997882843,0.647819995880127,0.0027199999894946814,0.5019800066947937,0.38677000999450684,0.8221700191497803,0.30827999114990234,0.5661699771881104,0.3125,0.42021000385284424,0.36941999197006226,0.303600013256073,0.4953800141811371,0.9146900177001953,0.40136998891830444,0.5091599822044373,0.43408000469207764,0.3761900067329407,0.49540001153945923,0.020589999854564667,0.5026299953460693,0.5043200254440308,0.4977400004863739,0.361160010099411
